Abk;Name;Kurzname;Typ;BetrZust;PrimaryLocationCode;UIC;RB;gültigVon;gültigBis;NetzKey;FplRel;FplGr;
NDG;Deggendorf Hbf;Deggendorf Hbf;Bf;;DE 12106;0080;7;20081214;;264507;J;N;
NDG E;Deggendorf Eginger Straße;Deggendorf Eg S;Slst;; ;0080;;20040701;;;;;
NDH;Deggendorf Hafen;Deggendorf Hafen;Bf;;DE 12104;0080;7;20081214;;264515;J;N;
NDHF;Nürnberg-Dürrenhof;Nür-Dürrenhof;Bft;;DE 17864;0080;7;20081214;;225870;J;N;
NDHG;Deggendorf Hafen DB-Grenze;Deggend Ha DB-Gr;Gp;;DE 12105;0080;7;20131024;;107419;J;J;
NDI;Dittenbrunn;Dittenbrunn;Üst;;DE 12254;0080;7;20081214;;229021;J;N;
NDIE;Diebach;Diebach;Hp;;DE 12178;0080;7;20081214;;225565;J;N;
NDIW;Maxhütte-Haidhof Didier-Werke;Maxhütte-H D W;Anst;;DE 16878;0080;7;20081214;;266221;J;N;
NDM;Dottenheim;Dottenheim;Hp;;DE 12423;0080;7;20081214;;225110;J;N;
NDN;Deuerling;Deuerling;Hp;;DE 12171;0080;7;20081214;;263004;J;N;
NDOE;Dörfles-Esbach;Dörfles-Esbach;Hp;;DE 12305;0080;7;20081214;;228056;J;N;
NDP;Dorfprozelten;Dorfprozelten;Hp;;DE 12309;0080;5;20081214;;226522;J;N;
NDS;Hengersberg PA Schwaiger;PA Schwaiger;Anst;;DE 14764;0080;7;20091213;;913562;J;N;
NDT;Dietersheim;Dietersheim;Hp;;DE 12194;0080;7;20081214;;225102;J;N;
NDTH;Nürnberg-Dutzendteich                 Hp;Nür-Dutzendt Hp;Hp;;DE 17866;0080;7;20081214;;221036;J;N;
NDUE;Demantsfürth-Uehlfeld;Demantsfürth-Ueh;Bf;ehemals;DE 12130;0080;7;20080101;;225086;N;N;
NDW;Dürrenwaid;Dürrenwaid;Museum;; ;0080;;20100214;;;N;N;
NEB;Ebern Hp;Ebern Hp;Hp;;DE 12651;0080;7;20081214;;722645;J;N;
NEB M;Ebern Parkplatz Mittelschule;Ebern Mittelschu;Bush;; ;0080;;20151008;20181231;;N;N;
NEBE;Eberau;Eberau;Anst;a.B.;DE 12643;0080;7;20090127;;221168;N;N;
NEBH;Ebenhausen (Unterfr);Ebenhausen(Ufr);Bf;;DE 12639;0080;7;20081214;;224675;J;N;
NEBM;Ebermannstadt;Ebermannstadt;Bf;;DE 12648;0080;7;20081214;;221481;J;N;
NEBMB;Ebermannstadt Busbf;Ebermannst Busbf;Bush;; ;0080;;19990101;;;;;
NEBMD;Ebermannstadt DFS;Ebermannst DFS;Museum;; ;0080;;20000416;;;N;N;
NEBN;Ebern;Ebern;Bf;a.B.;DE 12650;0080;7;20081214;;220798;N;N;
NEBR;Ebrach;Ebrach;Bf;a.B.;DE 12668;0080;7;20090127;;221150;N;N;
NEC;Ebersdorf (b Coburg);Ebersdorf (Cobg);Bf;;DE 12659;0080;7;20081214;;228122;J;N;
NED;Ebensfeld;Ebensfeld;Hp;;DE 12642;0080;7;20081214;;220582;J;N;
NED O;Ebensfeld Ortsmitte;Ebensfeld Ortsmi;Bush;; ;0080;;20150918;20171231;;N;N;
NEDN;Erbendorf Nord;Erbendorf Nord;Bf;a.B.;DE 12928;0080;7;20090127;;261107;N;N;
NEDS;Erbendorf Süd;Erbendorf Süd;Anst;a.B.;DE 12929;0080;7;20090127;;261099;N;N;
NEE;Ebelsbach-Eltmann;Ebelsbach-Eltm;Bf;;DE 12638;0080;7;20081214;;224121;J;N;
NEF;Eltersdorf;Eltersdorf;Bf;;DE 12849;0080;7;20150629;;221838;J;N;
NEF G;Eltersdorf-Gründlach;Eltersdf-Gründla;Bft;Planung;DE 12854;0080;7;20100828;;107469;N;N;
NEF M;Eltersdorf Mitte;Eltersdorf Mitte;Bft;Planung;DE 12850;0080;7;20100824;;107468;N;N;
NEF O;Eltersdorf Ost;Eltersdorf Ost;Bft;Planung;DE 12851;0080;7;20100824;;107467;N;N;
NEF S;Eltersdorf Süd;Eltersdorf Süd;Bft;Planung;DE 12852;0080;7;20100824;;107466;N;N;
NEG;Ebing;Ebing;Hp;;DE 12667;0080;7;20081214;;220608;J;N;
NEG R;Ebing Raiffeisenbank;Ebing Raiffeisen;Bush;; ;0080;;20150918;20171231;;N;N;
NEGE;Egersdorf;Egersdorf;Hp;;DE 12704;0080;7;20081214;;227686;J;N;
NEHM;Eisenheim;Eisenheim;Museum;; ;0080;;20050914;;;N;N;
